time_step,temperature
1.930000000000000000e+02,8.170549617451963731e-02
1.940000000000000000e+02,8.179639351012314707e-02
1.950000000000000000e+02,8.189125360122095909e-02
1.960000000000000000e+02,8.193474267215532236e-02
1.970000000000000000e+02,8.198854261957061462e-02
1.980000000000000000e+02,8.203567440834701185e-02
1.990000000000000000e+02,8.202689077569727538e-02
2.000000000000000000e+02,8.205242626269983186e-02
2.010000000000000000e+02,8.207240332457582666e-02
2.020000000000000000e+02,8.212156315901261716e-02
2.030000000000000000e+02,8.214513462100528352e-02
2.040000000000000000e+02,8.217851997575512102e-02
2.050000000000000000e+02,8.219975017117182869e-02
2.060000000000000000e+02,8.220440804386616729e-02
2.070000000000000000e+02,8.224355980340798677e-02
2.080000000000000000e+02,8.228682216751635747e-02
2.090000000000000000e+02,8.233650852744077431e-02
2.100000000000000000e+02,8.237190360517236687e-02
2.110000000000000000e+02,8.243093213874440328e-02
2.120000000000000000e+02,8.248408887326667827e-02
2.130000000000000000e+02,8.254633491326440753e-02
2.140000000000000000e+02,8.266580567022707715e-02
2.150000000000000000e+02,8.277941357277003587e-02
2.160000000000000000e+02,8.290124080625077552e-02
2.170000000000000000e+02,8.302000390871445978e-02
2.180000000000000000e+02,8.313787206099175486e-02
2.190000000000000000e+02,8.324248200469384906e-02
2.200000000000000000e+02,8.339267618592192954e-02
2.210000000000000000e+02,8.355227319618481474e-02
2.220000000000000000e+02,8.373063795452505287e-02
2.230000000000000000e+02,8.386416473831072305e-02
2.240000000000000000e+02,8.400801119182804699e-02
2.250000000000000000e+02,8.412800416859878005e-02
2.260000000000000000e+02,8.423492075760659337e-02
2.270000000000000000e+02,8.435720531623412677e-02
2.280000000000000000e+02,8.446562323180201171e-02
2.290000000000000000e+02,8.454229729162614226e-02
2.300000000000000000e+02,8.464232491257345226e-02
2.310000000000000000e+02,8.470234413751943914e-02
2.320000000000000000e+02,8.479825308555770380e-02
2.330000000000000000e+02,8.491996966697107352e-02
2.340000000000000000e+02,8.504835424024104196e-02
2.350000000000000000e+02,8.517377898205148734e-02
2.360000000000000000e+02,8.531138752380150458e-02
2.370000000000000000e+02,8.539780296285419403e-02
2.380000000000000000e+02,8.548246791168122305e-02
2.390000000000000000e+02,8.556478236342042465e-02
2.400000000000000000e+02,8.566038458793751031e-02
2.410000000000000000e+02,8.570662005036107367e-02
2.420000000000000000e+02,8.575903028795493765e-02
2.430000000000000000e+02,8.579338294632493644e-02
2.440000000000000000e+02,8.584589518211023507e-02
2.450000000000000000e+02,8.584016893467998066e-02
2.460000000000000000e+02,8.583029971154586268e-02
2.470000000000000000e+02,8.580394713241780436e-02
2.480000000000000000e+02,8.575601143395920889e-02
2.490000000000000000e+02,8.575739845920828108e-02
2.500000000000000000e+02,8.578938905659194702e-02
2.510000000000000000e+02,8.578721814567451254e-02
2.520000000000000000e+02,8.581817919626183455e-02
2.530000000000000000e+02,8.584832085985483197e-02
2.540000000000000000e+02,8.584148893011746273e-02
2.550000000000000000e+02,8.584222583724321343e-02
2.560000000000000000e+02,8.581457108512285936e-02
2.570000000000000000e+02,8.575779202946609558e-02
2.580000000000000000e+02,8.571071395285288774e-02
2.590000000000000000e+02,8.567829311783643764e-02
2.600000000000000000e+02,8.565387185474994391e-02
2.610000000000000000e+02,8.561499857808067826e-02
2.620000000000000000e+02,8.557267098979211284e-02
2.630000000000000000e+02,8.557215488442544704e-02
2.640000000000000000e+02,8.554283323074625411e-02
2.650000000000000000e+02,8.550040705559230902e-02
2.660000000000000000e+02,8.545483081699047079e-02
2.670000000000000000e+02,8.541664723447876806e-02
2.680000000000000000e+02,8.538710385699883887e-02
2.690000000000000000e+02,8.530502613072400708e-02
2.700000000000000000e+02,8.519821479981488921e-02
2.710000000000000000e+02,8.512856151278075378e-02
2.720000000000000000e+02,8.504824335536154134e-02
2.730000000000000000e+02,8.497931793076567153e-02
2.740000000000000000e+02,8.489503508580009683e-02
2.750000000000000000e+02,8.478701921117931528e-02
2.760000000000000000e+02,8.464861573518832338e-02
2.770000000000000000e+02,8.451034384776319464e-02
2.780000000000000000e+02,8.438824229170409363e-02
2.790000000000000000e+02,8.428480951569296276e-02
2.800000000000000000e+02,8.415982603232402548e-02
2.810000000000000000e+02,8.400974626125388978e-02
2.820000000000000000e+02,8.388112530932299860e-02
2.830000000000000000e+02,8.376968192777006772e-02
2.840000000000000000e+02,8.366755266952073666e-02
2.850000000000000000e+02,8.353768839362107901e-02
2.860000000000000000e+02,8.342647525656739227e-02
2.870000000000000000e+02,8.331748823583889907e-02
2.880000000000000000e+02,8.322908285326346967e-02
2.890000000000000000e+02,8.310495238086774983e-02
2.900000000000000000e+02,8.297563336318641847e-02
2.910000000000000000e+02,8.284849841953327576e-02
2.920000000000000000e+02,8.272748017397930920e-02
2.930000000000000000e+02,8.265962765345791219e-02
2.940000000000000000e+02,8.260377213866200441e-02
2.950000000000000000e+02,8.253634022476093179e-02
2.960000000000000000e+02,8.250372858049484504e-02
