bin_centers,E_0.00,E_0.01,E_0.02,E_0.03,E_0.04,E_0.06,E_0.07,E_0.08,E_0.09,E_0.10
1.484637892607486853e-01,8.200950830502266864e-02,1.762367596840588857e-01,4.128927693642671648e-01,8.018521516109461400e-01,1.287214547701896583e+00,1.608725293526281241e+00,1.814418529662756407e+00,1.907306850293955636e+00,2.052580836434281686e+00,2.153168008865543825e+00
1.566937023943121010e-01,5.338986357000455318e-02,1.114659847574389628e-01,2.826817541371087206e-01,6.403436301530953667e-01,1.051060637052127156e+00,1.385458591324444155e+00,1.608223194495842501e+00,1.770233814984132126e+00,1.891574414006869542e+00,1.981617506798914796e+00
1.649236155278755167e-01,3.648586287856109972e-02,7.899691412238916965e-02,2.160699494322127767e-01,4.813456038474391296e-01,8.517273219678781482e-01,1.191146266544584220e+00,1.384287026920086650e+00,1.585294005439131793e+00,1.721028110001118439e+00,1.829983599606362921e+00
1.731535286614389324e-01,2.259445636975113830e-02,5.322249722652491744e-02,1.563201648099819818e-01,3.519714203376789197e-01,6.808462852751677730e-01,9.981728725125615931e-01,1.194660959757656737e+00,1.462614475668557068e+00,1.548473409873611706e+00,1.631319749896032345e+00
1.813834417950023481e-01,1.372404016533032393e-02,3.598376384812219247e-02,1.067797271400091064e-01,2.542294757455702547e-01,5.318902395782898473e-01,7.827723884542673316e-01,1.023947289408425831e+00,1.256753873188602544e+00,1.344286470828453206e+00,1.474832218742570866e+00
1.896133549285657638e-01,8.535683517461541137e-03,2.242709002627150255e-02,6.912229985709053559e-02,1.705463040057512147e-01,3.805910650726970212e-01,6.207617679659777066e-01,8.682965899723623648e-01,1.060600518630466560e+00,1.215749119036091175e+00,1.275331537314842167e+00
1.978432680621291795e-01,5.523089334828056897e-03,1.539770360012670571e-02,4.451944736558373361e-02,1.332236094097919155e-01,2.696271793456969657e-01,4.928938815475341628e-01,6.897167014795885231e-01,9.240295823510817907e-01,1.040014458382471085e+00,1.118007174443982343e+00
2.060731811956925952e-01,3.849425900031676426e-03,8.200950830502266170e-03,2.828491204805883702e-02,9.305568697467878070e-02,1.936428594059412533e-01,3.523061530246381357e-01,5.419322201870681033e-01,7.678767838845795835e-01,8.626061342940547494e-01,9.600133461992040873e-01
2.143030943292560109e-01,2.343128808714933006e-03,6.025188365266971081e-03,2.125552562191403497e-02,5.472879431784165305e-02,1.399182631489774564e-01,2.644388226978281464e-01,4.184158586990952555e-01,6.107197873571993396e-01,7.303867229451406207e-01,8.018521516109461400e-01
2.225330074628193988e-01,6.694653739185568719e-04,2.845227839153866706e-03,1.288720844793221978e-02,3.899635803075593432e-02,9.606828115731290418e-02,1.966554535885760568e-01,3.159876564895588436e-01,5.062831890259086309e-01,6.063682624267328070e-01,6.962439888752991468e-01
2.307629205963828145e-01,8.368317173981847058e-04,2.175762465235280343e-03,7.698851800063299944e-03,2.343128808714917480e-02,5.807612118743402108e-02,1.375751343402615845e-01,2.364886433367270058e-01,4.056960165946399965e-01,4.831866336257119032e-01,5.832717070265347470e-01
2.389928337299462302e-01,3.347326869592784360e-04,6.694653739185568719e-04,5.020990304389176540e-03,1.623453531752500414e-02,4.686257617429898104e-02,1.009219051182224380e-01,1.939775920929018294e-01,3.179960526113145280e-01,3.931435408336725335e-01,4.599227118820485849e-01
2.472227468635096459e-01,0.000000000000000000e+00,8.368317173981847058e-04,2.175762465235280343e-03,8.870416204420758857e-03,2.677861495674191059e-02,7.297172575712171372e-02,1.298762825401982846e-01,2.440201287933106700e-01,3.208412804504640614e-01,3.824320948509704610e-01
2.554526599970731171e-01,0.000000000000000000e+00,6.694653739185477646e-04,1.506297091316732796e-03,5.523089334828019600e-03,1.506297091316732666e-02,4.702994251777798534e-02,9.205148891380032783e-02,1.902955325363472339e-01,2.528905449977314479e-01,3.047741114764189185e-01
2.636825731306365328e-01,0.000000000000000000e+00,1.673663434796392180e-04,1.171564404357474526e-03,4.016792243511341232e-03,7.698851800063404027e-03,3.431010041332603622e-02,7.297172575712269904e-02,1.394161641185394651e-01,1.921365623146258084e-01,2.565726045542869316e-01
2.719124862641999485e-01,0.000000000000000000e+00,3.347326869592738823e-04,1.004198060877821647e-03,1.673663434796369412e-03,5.690455678307657084e-03,2.292918905671026061e-02,5.188356647868745675e-02,1.039344993008545492e-01,1.583285609317365561e-01,2.025132756103606990e-01
2.801423993977633642e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.347326869592784360e-04,1.673663434796391963e-03,4.853623960909537322e-03,1.690400069144356102e-02,3.648586287856134952e-02,8.000111218326755314e-02,1.213405990227384296e-01,1.601695907100147143e-01
2.883723125313267799e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.368317173981847058e-04,1.004198060877821647e-03,8.535683517461483891e-03,1.958186218711752483e-02,5.824348753091366376e-02,9.405988503555597069e-02,1.288720844793204701e-01
2.966022256648901956e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.673663434796392180e-04,5.020990304389176540e-04,1.004198060877835308e-03,5.355722991348454975e-03,1.656926800448428258e-02,4.535627908298223154e-02,6.661180470489640182e-02,1.020934695225799160e-01
3.048321387984536113e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.020990304389108235e-04,3.347326869592738823e-04,3.347326869592738823e-03,8.703049860941121374e-03,3.196697160461065695e-02,5.104673476128927107e-02,7.849481509194973505e-02
3.130620519320170270e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.673663434796392180e-04,0.000000000000000000e+00,6.694653739185568719e-04,1.506297091316752745e-03,8.535683517461600117e-03,2.493758517846624348e-02,3.899635803075593432e-02,6.359921052226290283e-02
3.212919650655804427e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.347326869592738823e-04,1.841029778276006461e-03,4.351524930470560687e-03,1.673663434796369628e-02,2.527231786542518191e-02,4.702994251777798534e-02
3.295218781991438584e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.347326869592784360e-04,1.506297091316752745e-03,1.338930747837113744e-03,1.338930747837113570e-02,2.092079293495490225e-02,3.447746675680567890e-02
3.377517913327072741e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.347326869592738823e-04,1.338930747837095529e-03,1.020934695225785352e-02,1.456087188272841594e-02,3.280380332200884264e-02
3.459817044662706897e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.673663434796392180e-04,0.000000000000000000e+00,6.694653739185568719e-04,4.351524930470619668e-03,8.535683517461600117e-03,1.874503046971959241e-02
3.542116175998341054e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.347326869592738823e-04,4.184158586990924071e-03,6.359921052226203547e-03,1.238510941749313560e-02
3.624415307333975211e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.020990304389176540e-04,3.012594182633505490e-03,3.849425900031702014e-03,1.138091135661546682e-02
3.706714438669609368e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.673663434796369412e-04,1.673663434796369412e-04,0.000000000000000000e+00,2.343128808714917393e-03,3.514693213072375873e-03,8.535683517461483891e-03
3.789013570005243525e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.347326869592784360e-04,1.506297091316752745e-03,1.506297091316752745e-03,5.857822021787372629e-03
3.871312701340877682e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.673663434796369412e-04,1.004198060877821647e-03,1.338930747837095529e-03,5.188356647868746369e-03
3.953611832676511839e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.338930747837113744e-03,8.368317173981959815e-04,3.347326869592783926e-03
4.035910964012145996e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.347326869592738823e-04,1.673663434796369412e-04,3.514693213072375873e-03
4.118210095347780153e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.673663434796392180e-04,1.673663434796392180e-04,0.000000000000000000e+00,2.175762465235309834e-03
4.200509226683414310e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.347326869592738823e-04,2.175762465235280343e-03
4.282808358019048467e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.347326869592784360e-04,1.673663434796392180e-04,8.368317173981959815e-04
4.365107489354682624e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.673663434796369412e-04,0.000000000000000000e+00,3.347326869592738823e-04
4.447406620690316781e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.673663434796392180e-04,1.673663434796392180e-04,1.338930747837113744e-03
4.529705752025950938e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.673663434796369412e-04,0.000000000000000000e+00,5.020990304389108235e-04
4.612004883361585095e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.673663434796392180e-04
4.694304014697219252e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.776603146032853409e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.858902277368487566e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.673663434796369412e-04
4.941201408704121723e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.023500540039755879e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.105799671375390592e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.673663434796369412e-04
5.188098802711025304e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.270397934046658905e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.352697065382292507e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.673663434796392180e-04
