r,g_cg_AA,g_cg_AB,g_cg_BB
6.750000000000000000e+00,1.013319445469820002e+00,1.032727688568469082e+00,1.057884192588942174e+00
6.850000000000000533e+00,1.012000534729180945e+00,1.028045687545835252e+00,1.048812589339153778e+00
6.950000000000000178e+00,1.011756569979527010e+00,1.024051647413299015e+00,1.041108270575432426e+00
7.050000000000000711e+00,1.012428446447818597e+00,1.020265617775750755e+00,1.034942616182545461e+00
7.150000000000000355e+00,1.013965100512604689e+00,1.017192744252418235e+00,1.029817331000728142e+00
7.250000000000000000e+00,1.015238513529238995e+00,1.015929789275272110e+00,1.024765412372304896e+00
7.350000000000000533e+00,1.014632545807504505e+00,1.015855235507944654e+00,1.019618905285443633e+00
7.450000000000000178e+00,1.012540222804108936e+00,1.015592612393989569e+00,1.015384112743249911e+00
7.550000000000000711e+00,1.011297759786810246e+00,1.015064538871649935e+00,1.012352013552560770e+00
7.650000000000000355e+00,1.011704794646492545e+00,1.014854687644186848e+00,1.009507058751117681e+00
7.750000000000000000e+00,1.012759692914998677e+00,1.015159243893760443e+00,1.007114672607606121e+00
7.850000000000000533e+00,1.014156530847572180e+00,1.015815904136103009e+00,1.006593830928431244e+00
7.950000000000000178e+00,1.016132119334903994e+00,1.016304498857276473e+00,1.007839823713256422e+00
8.050000000000000711e+00,1.017916922192731999e+00,1.016301715317235566e+00,1.010398866042172550e+00
8.150000000000000355e+00,1.018666106845282471e+00,1.016144468669872625e+00,1.013962094029243755e+00
8.250000000000000000e+00,1.018742155634719371e+00,1.016077052616506382e+00,1.016093207741852744e+00
8.350000000000001421e+00,1.018484987629835858e+00,1.016090505069757288e+00,1.014068734781611525e+00
8.449999999999999289e+00,1.017811005061755703e+00,1.016292999712709033e+00,1.009246042721291037e+00
8.550000000000000711e+00,1.017059082307938178e+00,1.016765445106493804e+00,1.005697497100707327e+00
8.650000000000000355e+00,1.016410645412483937e+00,1.017493107308196310e+00,1.005290074827836166e+00
8.750000000000000000e+00,1.015537218974784661e+00,1.018029748533023415e+00,1.006827326290021363e+00
8.850000000000001421e+00,1.014299533317634117e+00,1.017814899742611745e+00,1.008663160875338471e+00
8.949999999999999289e+00,1.012931140199464952e+00,1.017223611996534327e+00,1.010157610531353889e+00
9.050000000000000711e+00,1.012206482479736325e+00,1.016564078200387744e+00,1.011089928490735534e+00
9.150000000000000355e+00,1.013057350877907048e+00,1.015423547495649448e+00,1.011392117796986234e+00
9.250000000000000000e+00,1.015000226957514240e+00,1.014359885233895753e+00,1.011606281770154769e+00
9.350000000000001421e+00,1.016140073844985947e+00,1.014477148210651158e+00,1.012150081028406312e+00
9.449999999999999289e+00,1.015578546957904837e+00,1.015360161278183737e+00,1.012380958089105665e+00
9.550000000000000711e+00,1.014230856182228857e+00,1.015676234431499569e+00,1.011349762471354552e+00
9.650000000000002132e+00,1.013083322271901343e+00,1.014987548747241286e+00,1.009144761964375414e+00
9.750000000000000000e+00,1.012011379066398709e+00,1.013927853154565240e+00,1.006698517334207343e+00
9.850000000000001421e+00,1.010627786335280609e+00,1.013439431701230298e+00,1.004909157111847362e+00
9.949999999999999289e+00,1.009448368098188720e+00,1.013600111169469020e+00,1.004194821931473358e+00
