r_distance,g_r_AA,g_r_BB,g_r_AB,g_r_WW
2.549999999999999822e+00,2.923235904281392683e-01,1.179739284650434180e-04,1.601484818718331565e-02,1.847441886926881827e+00
2.650000000000000355e+00,5.163669825154412196e-01,6.702034921544434672e-04,4.774948794277918129e-02,1.963686987488241664e+00
2.750000000000000000e+00,7.944553456580303319e-01,3.036414329186724621e-03,1.199511060725348965e-01,1.890991354460298313e+00
2.850000000000000533e+00,1.080300858557237120e+00,1.133406997432110340e-02,2.563944390348906754e-01,1.742459514815939858e+00
2.950000000000000178e+00,1.320722387282357246e+00,3.536704115306534002e-02,4.713226814899486583e-01,1.581480481098510360e+00
3.049999999999999822e+00,1.479269161740401239e+00,9.313098335849061271e-02,7.540880161565008954e-01,1.436019684945040176e+00
3.150000000000000355e+00,1.547481923785793967e+00,2.088353161329178365e-01,1.064399134242954847e+00,1.312932916889216761e+00
3.250000000000000000e+00,1.539901074347217680e+00,4.026787741811181376e-01,1.345949067922645348e+00,1.212585563259179322e+00
3.350000000000000533e+00,1.481467479624327455e+00,6.749087141557476022e-01,1.550803067851184602e+00,1.131792746638874414e+00
3.450000000000000178e+00,1.396826479790646669e+00,9.952258869086051396e-01,1.657514194033248511e+00,1.068467448354134541e+00
3.549999999999999822e+00,1.305043610811003507e+00,1.309110180886219554e+00,1.672869444622934632e+00,1.019025963355157716e+00
3.650000000000000355e+00,1.218561516710314097e+00,1.560334710882466780e+00,1.621117916593532549e+00,9.809765971174024823e-01
3.750000000000000000e+00,1.143987542962074055e+00,1.714534723679475681e+00,1.530771267564607685e+00,9.536297508881120821e-01
3.850000000000000533e+00,1.083250570945035962e+00,1.768096346648805328e+00,1.425748837632043520e+00,9.336283868401098474e-01
3.950000000000000178e+00,1.035152450270641955e+00,1.740358197813575369e+00,1.322102127438237185e+00,9.211589043039931646e-01
4.050000000000000711e+00,9.974189703207314572e-01,1.659273334581230719e+00,1.228567126339178195e+00,9.161063883310988087e-01
4.150000000000000355e+00,9.684402466398167597e-01,1.550550841230861288e+00,1.148674277999937487e+00,9.163890156380510854e-01
4.250000000000000000e+00,9.475735834089527021e-01,1.433247218169777071e+00,1.082889058834314078e+00,9.216141968813420515e-01
4.349999999999999645e+00,9.341796247914440077e-01,1.319852300267305489e+00,1.030195961246124670e+00,9.326145626879288608e-01
4.450000000000000178e+00,9.270609300245569173e-01,1.217934698196531329e+00,9.891046724021264058e-01,9.465521222763656484e-01
4.550000000000000711e+00,9.252886086173753855e-01,1.131517607172160877e+00,9.582369648617011793e-01,9.651341736352520018e-01
4.650000000000000355e+00,9.291800207825913205e-01,1.061952023485917884e+00,9.366101941831215250e-01,9.853214843024121761e-01
4.750000000000000000e+00,9.395737438634875760e-01,1.008736621152723556e+00,9.235364806388874914e-01,1.007740186902573720e+00
4.850000000000000533e+00,9.557931618866157830e-01,9.703601600198502597e-01,9.183089785307114727e-01,1.027978931369452065e+00
4.950000000000000178e+00,9.748917796314420237e-01,9.449714341012301899e-01,9.200782923900936439e-01,1.046155205286556589e+00
5.050000000000000711e+00,9.934190683555803592e-01,9.307434016838889157e-01,9.279894200868926690e-01,1.058622123622643629e+00
5.150000000000000355e+00,1.009683441651235247e+00,9.260552977916389761e-01,9.411983003170197870e-01,1.066700963510675226e+00
5.250000000000000000e+00,1.023915113036701685e+00,9.296174537850079300e-01,9.585908169625794173e-01,1.068768956733786357e+00
5.350000000000000533e+00,1.036662318647548098e+00,9.404810003453059064e-01,9.785542899249439763e-01,1.066752825658325632e+00
5.450000000000000178e+00,1.047697668855714248e+00,9.578786813872434136e-01,9.991741613490918716e-01,1.062529566023432182e+00
5.550000000000000711e+00,1.056351037760618228e+00,9.809396767699560815e-01,1.018700996424814598e+00,1.055944611961269430e+00
5.650000000000000355e+00,1.062194155039368759e+00,1.008253555971539761e+00,1.035913533405661724e+00,1.048548294301414607e+00
5.750000000000000000e+00,1.065123500687638725e+00,1.037545509528402965e+00,1.050175779507489970e+00,1.040741872312769489e+00
5.850000000000000533e+00,1.065045487398821766e+00,1.065948856212820317e+00,1.061203807332032900e+00,1.033019434607500564e+00
5.950000000000000178e+00,1.061768472956229559e+00,1.090804472388058777e+00,1.068786531070982981e+00,1.026373131910970571e+00
6.050000000000000711e+00,1.055238705511958086e+00,1.110293153411000544e+00,1.072866433324959567e+00,1.020104854665902172e+00
6.150000000000000355e+00,1.045951133748480366e+00,1.123528628183470879e+00,1.073841685300607640e+00,1.014496350604019437e+00
6.250000000000000000e+00,1.035210221797803865e+00,1.130356078368916828e+00,1.072390737895878132e+00,1.010082750429738940e+00
6.350000000000000533e+00,1.024820197018726953e+00,1.131099875826386381e+00,1.068814306736656228e+00,1.007112084959776555e+00
6.450000000000000178e+00,1.016212078582083622e+00,1.126369033877282710e+00,1.062871963006037701e+00,1.004523825234358458e+00
