time_lag,vacf_aa_norm,vacf_ibi_norm,vacf_gle_norm
1.330000000000000000e+03,4.712260148924173747e-02,9.325124850728577774e-01,8.021719130537008358e-02
1.340000000000000000e+03,4.655565197832589597e-02,9.320143644873420952e-01,7.926948937320582589e-02
1.350000000000000000e+03,4.600163755638554675e-02,9.315097667879741472e-01,7.835618627521842572e-02
1.360000000000000000e+03,4.545854502328289248e-02,9.309993186628785500e-01,7.747252817428047778e-02
1.370000000000000000e+03,4.492412443663584137e-02,9.304838289349172120e-01,7.660909280167298163e-02
1.380000000000000000e+03,4.439504253381752752e-02,9.299641802935114665e-01,7.575539169625437885e-02
1.390000000000000000e+03,4.386728080234832822e-02,9.294412715097103428e-01,7.490332741176464193e-02
1.400000000000000000e+03,4.333755638857058473e-02,9.289160856470110028e-01,7.404757380679917456e-02
1.410000000000000000e+03,4.280381254513276890e-02,9.283896800647462033e-01,7.318916062242573906e-02
1.420000000000000000e+03,4.226502240472843758e-02,9.278631259832217371e-01,7.232908074995189618e-02
1.430000000000000000e+03,4.172089883249829184e-02,9.273374561496169344e-01,7.146683941508111260e-02
1.440000000000000000e+03,4.117162692861366796e-02,9.268136865303799876e-01,7.060043376281315008e-02
1.450000000000000000e+03,4.061767406936218211e-02,9.262928274970462228e-01,6.973660882452148435e-02
1.460000000000000000e+03,4.005972736327500366e-02,9.257758151557676785e-01,6.888519077645847977e-02
1.470000000000000000e+03,3.949872346490948538e-02,9.252634954295909653e-01,6.806205813850707553e-02
1.480000000000000000e+03,3.893589321289552679e-02,9.247566195100480613e-01,6.727155711616950029e-02
1.490000000000000000e+03,3.837283871140012570e-02,9.242558203054570543e-01,6.651239965067992643e-02
1.500000000000000000e+03,3.781171862358726626e-02,9.237615558028330343e-01,6.578165303210149750e-02
1.510000000000000000e+03,3.725537778381520643e-02,9.232741033883382631e-01,6.507338746175721222e-02
1.520000000000000000e+03,3.670714254868429061e-02,9.227935512281090213e-01,6.437805038589212991e-02
1.530000000000000000e+03,3.617029871253395895e-02,9.223197851879991749e-01,6.369329892540510907e-02
1.540000000000000000e+03,3.564752582980248302e-02,9.218524450903586853e-01,6.301819713179102056e-02
1.550000000000000000e+03,3.514049844402013928e-02,9.213910687663507959e-01,6.234852308257156361e-02
1.560000000000000000e+03,3.464974233684623567e-02,9.209351420434341851e-01,6.168703601938205910e-02
1.570000000000000000e+03,3.417483213649212537e-02,9.204842033010439684e-01,6.103498601220379988e-02
1.580000000000000000e+03,3.371491486790344910e-02,9.200378874666442774e-01,6.038952711999671236e-02
1.590000000000000000e+03,3.326932689571477503e-02,9.195960096014713647e-01,5.974863586740481597e-02
1.600000000000000000e+03,3.283800763931572081e-02,9.191584090250003447e-01,5.911539821052311933e-02
1.610000000000000000e+03,3.242158581845947657e-02,9.187248457358913045e-01,5.849351304574378768e-02
1.620000000000000000e+03,3.202124909182887946e-02,9.182949779358905440e-01,5.788198877284154997e-02
1.630000000000000000e+03,3.163852071809922922e-02,9.178683095274591253e-01,5.727960161254259941e-02
1.640000000000000000e+03,3.127495487858553830e-02,9.174442718007111974e-01,5.668608608547191091e-02
1.650000000000000000e+03,3.093177700585601764e-02,9.170221644209394229e-01,5.610291573053396291e-02
1.660000000000000000e+03,3.060957511849803775e-02,9.166011453880953397e-01,5.552876994778264963e-02
1.670000000000000000e+03,3.030811278964532299e-02,9.161804179254093849e-01,5.496287526539410384e-02
1.680000000000000000e+03,3.002629867181368095e-02,9.157591740702261118e-01,5.440804191781619531e-02
1.690000000000000000e+03,2.976244328291171443e-02,9.153365276139240336e-01,5.386523845215083345e-02
1.700000000000000000e+03,2.951480918626226899e-02,9.149116139811571680e-01,5.333529050203035526e-02
1.710000000000000000e+03,2.928218441339568504e-02,9.144835741142555152e-01,5.281641763160821457e-02
1.720000000000000000e+03,2.906422451403437718e-02,9.140515083653653061e-01,5.230444624407965676e-02
1.730000000000000000e+03,2.886148700763620234e-02,9.136145365896852777e-01,5.180151208893095383e-02
1.740000000000000000e+03,2.867521117283769808e-02,9.131717972981777676e-01,5.130891583135909623e-02
1.750000000000000000e+03,2.850692721071220251e-02,9.127224969333296301e-01,5.082678267124336041e-02
