epoch,loss,training_field
2.420000000000000000e+02,3.420589344825431346e-15,5.000000000000000000e-01
2.430000000000000000e+02,1.227769418189517301e-14,5.000000000000000000e-01
2.440000000000000000e+02,3.575854022052720345e-14,5.000000000000000000e-01
2.450000000000000000e+02,1.463095657212934979e-14,5.000000000000000000e-01
2.460000000000000000e+02,4.702444717726674926e-16,5.000000000000000000e-01
2.470000000000000000e+02,2.014126683911742141e-14,5.000000000000000000e-01
2.480000000000000000e+02,2.101964582887290773e-14,5.000000000000000000e-01
2.490000000000000000e+02,1.582391190894235608e-15,5.000000000000000000e-01
2.500000000000000000e+02,6.178306529685873851e-15,5.000000000000000000e-01
2.510000000000000000e+02,1.677971233183389831e-14,5.000000000000000000e-01
2.520000000000000000e+02,6.945204738669773894e-15,5.000000000000000000e-01
2.530000000000000000e+02,2.967960836364842725e-16,5.000000000000000000e-01
2.540000000000000000e+02,1.020510704886606335e-14,5.000000000000000000e-01
2.550000000000000000e+02,9.968393439350874390e-15,5.000000000000000000e-01
2.560000000000000000e+02,5.118376275284122885e-16,5.000000000000000000e-01
2.570000000000000000e+02,3.633873740093982657e-15,5.000000000000000000e-01
2.580000000000000000e+02,8.000632029543273628e-15,5.000000000000000000e-01
2.590000000000000000e+02,2.815464093305608671e-15,5.000000000000000000e-01
2.600000000000000000e+02,3.833515301674090319e-16,5.000000000000000000e-01
2.610000000000000000e+02,5.291945585740768336e-15,5.000000000000000000e-01
2.620000000000000000e+02,4.262284417015942231e-15,5.000000000000000000e-01
2.630000000000000000e+02,7.586130246547480115e-17,5.000000000000000000e-01
2.640000000000000000e+02,2.134346212344718995e-15,5.000000000000000000e-01
2.650000000000000000e+02,3.943045868714557467e-15,5.000000000000000000e-01
2.660000000000000000e+02,8.766714663873648787e-16,5.000000000000000000e-01
2.670000000000000000e+02,4.184749987385934768e-16,5.000000000000000000e-01
2.680000000000000000e+02,2.733634350640906704e-15,5.000000000000000000e-01
2.690000000000000000e+02,1.645396262549485399e-15,5.000000000000000000e-01
2.700000000000000000e+02,2.741537229737061029e-18,5.000000000000000000e-01
2.710000000000000000e+02,1.432118219802077178e-15,5.000000000000000000e-01
2.720000000000000000e+02,1.906812135940097301e-15,5.000000000000000000e-01
2.730000000000000000e+02,2.135516604497558672e-16,5.000000000000000000e-01
2.740000000000000000e+02,3.858433318102888188e-16,5.000000000000000000e-01
2.750000000000000000e+02,1.439114716761919025e-15,5.000000000000000000e-01
