r,gle_g_AA,gle_g_BB,gle_g_AB,time_ps,gle_vacf
nan,nan,nan,nan,2.331850424319e+01,2.437950437563e-01
nan,nan,nan,nan,2.342077838461e+01,2.423858956184e-01
nan,nan,nan,nan,2.352305252603e+01,2.409835658354e-01
nan,nan,nan,nan,2.362532666745e+01,2.395880048211e-01
nan,nan,nan,nan,2.372760080886e+01,2.381991978868e-01
nan,nan,nan,nan,2.382987495028e+01,2.368171529896e-01
nan,nan,nan,nan,2.393214909170e+01,2.354418739905e-01
nan,nan,nan,nan,2.403442323312e+01,2.340734272305e-01
nan,nan,nan,nan,2.413669737453e+01,2.327119510957e-01
nan,nan,nan,nan,2.423897151595e+01,2.313575100117e-01
nan,nan,nan,nan,2.434124565737e+01,2.300101394526e-01
nan,nan,nan,nan,2.444351979879e+01,2.286698331941e-01
nan,nan,nan,nan,2.454579394020e+01,2.273365633106e-01
nan,nan,nan,nan,2.464806808162e+01,2.260103222500e-01
nan,nan,nan,nan,2.475034222304e+01,2.246910049794e-01
nan,nan,nan,nan,2.485261636446e+01,2.233785877755e-01
nan,nan,nan,nan,2.495489050587e+01,2.220730373226e-01
nan,nan,nan,nan,2.505716464729e+01,2.207742945121e-01
nan,nan,nan,nan,2.515943878871e+01,2.194824091776e-01
nan,nan,nan,nan,2.526171293013e+01,2.181973631378e-01
nan,nan,nan,nan,2.536398707154e+01,2.169191122308e-01
nan,nan,nan,nan,2.546626121296e+01,2.156476837995e-01
nan,nan,nan,nan,2.556853535438e+01,2.143830456812e-01
nan,nan,nan,nan,2.567080949580e+01,2.131251249948e-01
nan,nan,nan,nan,2.577308363721e+01,2.118738588451e-01
nan,nan,nan,nan,2.587535777863e+01,2.106291689206e-01
nan,nan,nan,nan,2.597763192005e+01,2.093910328695e-01
nan,nan,nan,nan,2.607990606147e+01,2.081593498870e-01
nan,nan,nan,nan,2.618218020288e+01,2.069340286053e-01
nan,nan,nan,nan,2.628445434430e+01,2.057150824748e-01
nan,nan,nan,nan,2.638672848572e+01,2.045024764469e-01
nan,nan,nan,nan,2.648900262714e+01,2.032962096642e-01
nan,nan,nan,nan,2.659127676856e+01,2.020962269560e-01
nan,nan,nan,nan,2.669355090997e+01,2.009024802666e-01
nan,nan,nan,nan,2.679582505139e+01,1.997149629114e-01
nan,nan,nan,nan,2.689809919281e+01,1.985337123943e-01
nan,nan,nan,nan,2.700037333423e+01,1.973587215018e-01
nan,nan,nan,nan,2.710264747564e+01,1.961899288590e-01
nan,nan,nan,nan,2.720492161706e+01,1.950273153123e-01
nan,nan,nan,nan,2.730719575848e+01,1.938708391085e-01
nan,nan,nan,nan,2.740946989990e+01,1.927204747100e-01
nan,nan,nan,nan,2.751174404131e+01,1.915761772584e-01
nan,nan,nan,nan,2.761401818273e+01,1.904379280172e-01
nan,nan,nan,nan,2.771629232415e+01,1.893057093031e-01
nan,nan,nan,nan,2.781856646557e+01,1.881796006613e-01
nan,nan,nan,nan,2.792084060698e+01,1.870595763891e-01
nan,nan,nan,nan,2.802311474840e+01,1.859456308405e-01
nan,nan,nan,nan,2.812538888982e+01,1.848377846224e-01
nan,nan,nan,nan,2.822766303124e+01,1.837361001057e-01
nan,nan,nan,nan,2.832993717265e+01,1.826407064867e-01
nan,nan,nan,nan,2.843221131407e+01,1.815517041599e-01
nan,nan,nan,nan,2.853448545549e+01,1.804692250853e-01
nan,nan,nan,nan,2.863675959691e+01,1.793933019385e-01
nan,nan,nan,nan,2.873903373832e+01,1.783239678142e-01
nan,nan,nan,nan,2.884130787974e+01,1.772611962723e-01
nan,nan,nan,nan,2.894358202116e+01,1.762049172986e-01
nan,nan,nan,nan,2.904585616258e+01,1.751551576752e-01
nan,nan,nan,nan,2.914813030399e+01,1.741119381552e-01
nan,nan,nan,nan,2.925040444541e+01,1.730752258705e-01
nan,nan,nan,nan,2.935267858683e+01,1.720450019108e-01
nan,nan,nan,nan,2.945495272825e+01,1.710212557879e-01
nan,nan,nan,nan,2.955722686966e+01,1.700039593013e-01
nan,nan,nan,nan,2.965950101108e+01,1.689930685216e-01
nan,nan,nan,nan,2.976177515250e+01,1.679886396395e-01
nan,nan,nan,nan,2.986404929392e+01,1.669907065203e-01
nan,nan,nan,nan,2.996632343533e+01,1.659993440450e-01
nan,nan,nan,nan,3.006859757675e+01,1.650145697868e-01
nan,nan,nan,nan,3.017087171817e+01,1.640364453349e-01
nan,nan,nan,nan,3.027314585959e+01,1.630650124606e-01
nan,nan,nan,nan,3.037542000100e+01,1.621003078300e-01
