time_ps,raw_memory_ps2,fitted_memory_ps2
1.560000000000e-01,2.910645620736e+00,2.910813144925e+00
1.570000000000e-01,2.875314390186e+00,2.875481593845e+00
1.580000000000e-01,2.840317784430e+00,2.840484279905e+00
1.590000000000e-01,2.805654210323e+00,2.805819927829e+00
1.600000000000e-01,2.771322025998e+00,2.771487146594e+00
1.610000000000e-01,2.737320034409e+00,2.737484719712e+00
1.620000000000e-01,2.703647564327e+00,2.703811518951e+00
1.630000000000e-01,2.670303037947e+00,2.670466198249e+00
1.640000000000e-01,2.637284879354e+00,2.637447240599e+00
1.650000000000e-01,2.604591239928e+00,2.604753282235e+00
1.660000000000e-01,2.572221973083e+00,2.572383115800e+00
1.670000000000e-01,2.540174978938e+00,2.540335222349e+00
1.680000000000e-01,2.508448570553e+00,2.508607741215e+00
1.690000000000e-01,2.477040510682e+00,2.477198671180e+00
1.700000000000e-01,2.445948629318e+00,2.446106183680e+00
1.710000000000e-01,2.415171893429e+00,2.415328817810e+00
1.720000000000e-01,2.384709150550e+00,2.384865121319e+00
1.730000000000e-01,2.354558473302e+00,2.354713308271e+00
1.740000000000e-01,2.324717096163e+00,2.324871613213e+00
1.750000000000e-01,2.295185219042e+00,2.295338470516e+00
1.760000000000e-01,2.265959720205e+00,2.266111928270e+00
1.770000000000e-01,2.237038753921e+00,2.237189745403e+00
1.780000000000e-01,2.208419698496e+00,2.208569659641e+00
1.790000000000e-01,2.180100659289e+00,2.180249409268e+00
1.800000000000e-01,2.152079266028e+00,2.152226627682e+00
1.810000000000e-01,2.124352040265e+00,2.124499226551e+00
1.820000000000e-01,2.096919846799e+00,2.097065453889e+00
1.830000000000e-01,2.069778865800e+00,2.069922921756e+00
1.840000000000e-01,2.042925495446e+00,2.043069213225e+00
1.850000000000e-01,2.016359827464e+00,2.016502682800e+00
1.860000000000e-01,1.990080122684e+00,1.990221550373e+00
1.870000000000e-01,1.964083049776e+00,1.964223565143e+00
1.880000000000e-01,1.938367090544e+00,1.938506539879e+00
1.890000000000e-01,1.912930296327e+00,1.913068138058e+00
1.900000000000e-01,1.887768905268e+00,1.887905740873e+00
1.910000000000e-01,1.862881476201e+00,1.863016794479e+00
1.920000000000e-01,1.838264415377e+00,1.838398863163e+00
1.930000000000e-01,1.813916225151e+00,1.814049927257e+00
1.940000000000e-01,1.789835679772e+00,1.789968134339e+00
1.950000000000e-01,1.766019952119e+00,1.766151305064e+00
1.960000000000e-01,1.742467209330e+00,1.742596905328e+00
1.970000000000e-01,1.719173667243e+00,1.719302153714e+00
1.980000000000e-01,1.696137118334e+00,1.696264455934e+00
1.990000000000e-01,1.673355214214e+00,1.673481497588e+00
2.000000000000e-01,1.650826003492e+00,1.650951036712e+00
2.010000000000e-01,1.628546657575e+00,1.628670925235e+00
2.020000000000e-01,1.606515957099e+00,1.606639248532e+00
2.030000000000e-01,1.584732019334e+00,1.584853951218e+00
2.040000000000e-01,1.563191819386e+00,1.563312663900e+00
2.050000000000e-01,1.541893465464e+00,1.542012940112e+00
2.060000000000e-01,1.520833983834e+00,1.520952248726e+00
2.070000000000e-01,1.500011191969e+00,1.500127985983e+00
2.080000000000e-01,1.479421756516e+00,1.479537656797e+00
2.090000000000e-01,1.459064118824e+00,1.459179215520e+00
2.100000000000e-01,1.438936762728e+00,1.439050805731e+00
2.110000000000e-01,1.419037826156e+00,1.419150077280e+00
2.120000000000e-01,1.399363192834e+00,1.399474138682e+00
2.130000000000e-01,1.379910299714e+00,1.380020377846e+00
2.140000000000e-01,1.360677679394e+00,1.360786676971e+00
2.150000000000e-01,1.341663126729e+00,1.341770949758e+00
2.160000000000e-01,1.322863960779e+00,1.322971200212e+00
